Series Name,Country Name,Country Code,Year,Value
"Government expenditure on education, total (% of GDP)",OECD members,OED,2004,5.05467510223389
"Government expenditure on education, total (% of GDP)",Other small states,OSS,2004,5.13917994499207
"Government expenditure on education, total (% of GDP)",Post-demographic dividend,PST,2004,5.17428016662598
"Government expenditure on education, total (% of GDP)",Pre-demographic dividend,PRE,2004,2.80395996570588
"Government expenditure on education, total (% of GDP)",Small states,SST,2004,4.87674999237061
"Government expenditure on education, total (% of GDP)",South Asia,SAS,2004,2.55604004859924
"Government expenditure on education, total (% of GDP)",South Asia (IDA & IBRD),TSA,2004,2.55604004859924
"Government expenditure on education, total (% of GDP)",Sub-Saharan Africa,SSF,2004,3.07778000831604
"Government expenditure on education, total (% of GDP)",Sub-Saharan Africa (excluding high income),SSA,2004,3.07778000831604
"Government expenditure on education, total (% of GDP)",Sub-Saharan Africa (IDA & IBRD),TSS,2004,3.07778000831604
"Government expenditure on education, total (% of GDP)",Upper middle income,UMC,2004,3.91254997253418
"Government expenditure on education, total (% of GDP)",World,WLD,2004,4.03088998794556
"Government expenditure per student, secondary (% of GDP per capita)",Caribbean small states,CSS,2004,18.0983
"Government expenditure per student, secondary (% of GDP per capita)",Central Europe and the Baltics,CEB,2004,21.12918
"Government expenditure per student, secondary (% of GDP per capita)",Euro area,EMU,2004,24.89156
"Government expenditure per student, secondary (% of GDP per capita)",Europe & Central Asia,ECS,2004,23.79821
"Government expenditure per student, secondary (% of GDP per capita)",European Union,EUU,2004,23.134615
"Government expenditure per student, secondary (% of GDP per capita)",High income,HIC,2004,22.780515
"Government expenditure per student, secondary (% of GDP per capita)",Late-demographic dividend,LTE,2004,17.089335
"Government expenditure per student, secondary (% of GDP per capita)",Latin America & Caribbean,LCN,2004,12.449425
"Government expenditure per student, secondary (% of GDP per capita)",Latin America & Caribbean (excluding high income),LAC,2004,12.94152
"Government expenditure per student, secondary (% of GDP per capita)",Latin America & Caribbean (IDA & IBRD),TLA,2004,11.95733
"Government expenditure per student, secondary (% of GDP per capita)",OECD members,OED,2004,23.05623
"Government expenditure per student, secondary (% of GDP per capita)",Post-demographic dividend,PST,2004,25.683165
"Government expenditure per student, primary (% of GDP per capita)",Caribbean small states,CSS,2004,10.44276
"Government expenditure per student, primary (% of GDP per capita)",Central Europe and the Baltics,CEB,2004,14.67982
"Government expenditure per student, primary (% of GDP per capita)",Euro area,EMU,2004,18.620425
"Government expenditure per student, primary (% of GDP per capita)",European Union,EUU,2004,18.71725
"Government expenditure per student, primary (% of GDP per capita)",High income,HIC,2004,18.5236
"Government expenditure per student, primary (% of GDP per capita)",Late-demographic dividend,LTE,2004,13.777375
"Government expenditure per student, primary (% of GDP per capita)",Latin America & Caribbean,LCN,2004,10.00318
"Government expenditure per student, primary (% of GDP per capita)",Latin America & Caribbean (excluding high income),LAC,2004,10.22297
"Government expenditure per student, primary (% of GDP per capita)",Latin America & Caribbean (IDA & IBRD),TLA,2004,9.699475
"Government expenditure per student, primary (% of GDP per capita)",OECD members,OED,2004,18.620425
"Government expenditure per student, primary (% of GDP per capita)",Other small states,OSS,2004,12.41251
"Government expenditure per student, primary (% of GDP per capita)",Post-demographic dividend,PST,2004,19.58362
"Government expenditure per student, primary (% of GDP per capita)",Small states,SST,2004,11.427635
"Literacy rate, adult male (% of males ages 15 and above)",Africa Eastern and Southern,AFE,2004,74.5489501953125
"Literacy rate, adult male (% of males ages 15 and above)",Africa Western and Central,AFW,2004,62.8546981811523
"Literacy rate, adult male (% of males ages 15 and above)",Arab World,ARB,2004,81.0588836669922
"Literacy rate, adult male (% of males ages 15 and above)",Caribbean small states,CSS,2004,87.8121719360352
"Literacy rate, adult male (% of males ages 15 and above)",Early-demographic dividend,EAR,2004,79.5075531005859
"Literacy rate, adult male (% of males ages 15 and above)",East Asia & Pacific,EAS,2004,95.0806198120117
"Literacy rate, adult male (% of males ages 15 and above)",East Asia & Pacific (excluding high income),EAP,2004,95.3697509765625
"Literacy rate, adult male (% of males ages 15 and above)",East Asia & Pacific (IDA & IBRD),TEA,2004,95.3129501342773
"Literacy rate, adult male (% of males ages 15 and above)",Europe & Central Asia,ECS,2004,98.0972366333008
"Literacy rate, adult male (% of males ages 15 and above)",Europe & Central Asia (excluding high income),ECA,2004,98.868766784668
"Literacy rate, adult male (% of males ages 15 and above)",Europe & Central Asia (IDA & IBRD),TEC,2004,98.9274520874023
"Literacy rate, adult male (% of males ages 15 and above)",Fragile and conflict affected situations,FCS,2004,73.3476486206055
"Literacy rate, adult male (% of males ages 15 and above)",Heavily indebted poor countries (HIPC),HPC,2004,64.9610290527344
"Literacy rate, adult male (% of males ages 15 and above)",IBRD only,IBD,2004,89.3903427124023
"Literacy rate, adult male (% of males ages 15 and above)",IDA & IBRD total,IBT,2004,85.4872894287109
"Literacy rate, adult male (% of males ages 15 and above)",IDA blend,IDB,2004,71.9529571533203
"Literacy rate, adult male (% of males ages 15 and above)",IDA only,IDX,2004,67.1134490966797
"Literacy rate, adult male (% of males ages 15 and above)",IDA total,IDA,2004,68.7500228881836
"Literacy rate, adult male (% of males ages 15 and above)",Late-demographic dividend,LTE,2004,95.232536315918
"Literacy rate, adult male (% of males ages 15 and above)",Latin America & Caribbean,LCN,2004,90.8416213989258
"Literacy rate, adult male (% of males ages 15 and above)",Latin America & Caribbean (excluding high income),LAC,2004,90.4355773925781
"Literacy rate, adult male (% of males ages 15 and above)",Latin America & Caribbean (IDA & IBRD),TLA,2004,90.6155014038086
"Literacy rate, adult male (% of males ages 15 and above)",Least developed countries: UN classification,LDC,2004,65.1534423828125
"Literacy rate, adult male (% of males ages 15 and above)",Low & middle income,LMY,2004,85.3137512207031
"Literacy rate, adult male (% of males ages 15 and above)",Low income,LIC,2004,65.486213684082
"Literacy rate, adult male (% of males ages 15 and above)",Lower middle income,LMC,2004,76.8246231079102
"Literacy rate, adult male (% of males ages 15 and above)",Middle East & North Africa,MEA,2004,84.0127334594727
"Literacy rate, adult male (% of males ages 15 and above)",Middle East & North Africa (excluding high income),MNA,2004,83.1183929443359
"Literacy rate, adult male (% of males ages 15 and above)",Middle East & North Africa (IDA & IBRD),TMN,2004,82.9994812011719
"Literacy rate, adult male (% of males ages 15 and above)",Middle income,MIC,2004,86.6422729492188
"Literacy rate, adult male (% of males ages 15 and above)",North America,NAC,2004,98.6855316162109
"Literacy rate, adult male (% of males ages 15 and above)",Other small states,OSS,2004,84.4525299072266
"Literacy rate, adult male (% of males ages 15 and above)",Pre-demographic dividend,PRE,2004,69.0683135986328
"Literacy rate, adult male (% of males ages 15 and above)",Small states,SST,2004,85.4760513305664
"Literacy rate, adult male (% of males ages 15 and above)",South Asia,SAS,2004,72.2464370727539
"Literacy rate, adult male (% of males ages 15 and above)",South Asia (IDA & IBRD),TSA,2004,72.2464370727539
"Literacy rate, adult male (% of males ages 15 and above)",Sub-Saharan Africa,SSF,2004,69.7657699584961
"Literacy rate, adult male (% of males ages 15 and above)",Sub-Saharan Africa (excluding high income),SSA,2004,69.7621994018555
"Literacy rate, adult male (% of males ages 15 and above)",Sub-Saharan Africa (IDA & IBRD),TSS,2004,69.7657699584961
"Literacy rate, adult male (% of males ages 15 and above)",Upper middle income,UMC,2004,95.0735473632812
"Literacy rate, adult male (% of males ages 15 and above)",World,WLD,2004,87.5193786621094
"Literacy rate, adult total (% of people ages 15 and above)",Africa Eastern and Southern,AFE,2004,65.6004180908203
"Literacy rate, adult total (% of people ages 15 and above)",Africa Western and Central,AFW,2004,51.3834114074707
"Literacy rate, adult total (% of people ages 15 and above)",Arab World,ARB,2004,70.5737762451172
"Literacy rate, adult total (% of people ages 15 and above)",Caribbean small states,CSS,2004,89.8251876831055
"Literacy rate, adult total (% of people ages 15 and above)",Early-demographic dividend,EAR,2004,71.1810607910156
"Literacy rate, adult total (% of people ages 15 and above)",East Asia & Pacific,EAS,2004,91.6966705322266
"Literacy rate, adult total (% of people ages 15 and above)",East Asia & Pacific (excluding high income),EAP,2004,91.9295196533203
"Literacy rate, adult total (% of people ages 15 and above)",East Asia & Pacific (IDA & IBRD),TEA,2004,91.8258590698242
"Literacy rate, adult total (% of people ages 15 and above)",Europe & Central Asia,ECS,2004,96.9480819702148
"Literacy rate, adult total (% of people ages 15 and above)",Europe & Central Asia (excluding high income),ECA,2004,97.3506088256836
"Literacy rate, adult total (% of people ages 15 and above)",Europe & Central Asia (IDA & IBRD),TEC,2004,97.5674362182617
"Literacy rate, adult total (% of people ages 15 and above)",Fragile and conflict affected situations,FCS,2004,64.2447814941406
"Literacy rate, adult total (% of people ages 15 and above)",Heavily indebted poor countries (HIPC),HPC,2004,54.3755989074707
"Literacy rate, adult total (% of people ages 15 and above)",IBRD only,IBD,2004,84.1974334716797
"Literacy rate, adult total (% of people ages 15 and above)",IDA & IBRD total,IBT,2004,79.4419708251953
"Literacy rate, adult total (% of people ages 15 and above)",IDA blend,IDB,2004,60.9894485473633
"Literacy rate, adult total (% of people ages 15 and above)",IDA only,IDX,2004,58.2146186828613
"Literacy rate, adult total (% of people ages 15 and above)",IDA total,IDA,2004,59.141040802002
"Literacy rate, adult total (% of people ages 15 and above)",Late-demographic dividend,LTE,2004,92.4644088745117
"Literacy rate, adult total (% of people ages 15 and above)",Latin America & Caribbean,LCN,2004,90.0280075073242
"Literacy rate, adult total (% of people ages 15 and above)",Latin America & Caribbean (excluding high income),LAC,2004,89.5352478027344
"Literacy rate, adult total (% of people ages 15 and above)",Latin America & Caribbean (IDA & IBRD),TLA,2004,89.7725830078125
"Literacy rate, adult total (% of people ages 15 and above)",Least developed countries: UN classification,LDC,2004,55.4500312805176
"Literacy rate, adult total (% of people ages 15 and above)",Low & middle income,LMY,2004,79.16748046875
"Literacy rate, adult total (% of people ages 15 and above)",Low income,LIC,2004,54.5051307678223
"Literacy rate, adult total (% of people ages 15 and above)",Lower middle income,LMC,2004,67.4801406860352
"Literacy rate, adult total (% of people ages 15 and above)",Middle East & North Africa,MEA,2004,74.7003021240234
"Literacy rate, adult total (% of people ages 15 and above)",Middle East & North Africa (excluding high income),MNA,2004,73.1119918823242
"Literacy rate, adult total (% of people ages 15 and above)",Middle East & North Africa (IDA & IBRD),TMN,2004,72.9318008422852
"Literacy rate, adult total (% of people ages 15 and above)",Middle income,MIC,2004,80.8514633178711
"Literacy rate, adult total (% of people ages 15 and above)",North America,NAC,2004,98.5838394165039
"Literacy rate, adult total (% of people ages 15 and above)",Other small states,OSS,2004,81.2886199951172
"Literacy rate, adult total (% of people ages 15 and above)",Pre-demographic dividend,PRE,2004,58.1134910583496
"Literacy rate, adult total (% of people ages 15 and above)",Small states,SST,2004,83.5176620483398
"Literacy rate, adult total (% of people ages 15 and above)",South Asia,SAS,2004,60.8761711120605
"Literacy rate, adult total (% of people ages 15 and above)",South Asia (IDA & IBRD),TSA,2004,60.8761711120605
"Literacy rate, adult total (% of people ages 15 and above)",Sub-Saharan Africa,SSF,2004,59.8666687011719
"Literacy rate, adult total (% of people ages 15 and above)",Sub-Saharan Africa (excluding high income),SSA,2004,59.8616905212402
"Literacy rate, adult total (% of people ages 15 and above)",Sub-Saharan Africa (IDA & IBRD),TSS,2004,59.8666687011719
"Literacy rate, adult total (% of people ages 15 and above)",Upper middle income,UMC,2004,92.1204071044922
"Literacy rate, adult total (% of people ages 15 and above)",World,WLD,2004,82.4389419555664
"Literacy rate, adult female (% of females ages 15 and above)",Africa Eastern and Southern,AFE,2004,57.3186798095703
"Literacy rate, adult female (% of females ages 15 and above)",Africa Western and Central,AFW,2004,40.1124496459961
"Literacy rate, adult female (% of females ages 15 and above)",Arab World,ARB,2004,59.4965400695801
"Literacy rate, adult female (% of females ages 15 and above)",Caribbean small states,CSS,2004,91.770149230957
"Literacy rate, adult female (% of females ages 15 and above)",Early-demographic dividend,EAR,2004,62.6845817565918
"Literacy rate, adult female (% of females ages 15 and above)",East Asia & Pacific,EAS,2004,88.3039169311523
"Literacy rate, adult female (% of females ages 15 and above)",East Asia & Pacific (excluding high income),EAP,2004,88.4693374633789
"Literacy rate, adult female (% of females ages 15 and above)",East Asia & Pacific (IDA & IBRD),TEA,2004,88.3144683837891
"Literacy rate, adult female (% of females ages 15 and above)",Europe & Central Asia,ECS,2004,95.9018325805664
"Literacy rate, adult female (% of females ages 15 and above)",Europe & Central Asia (excluding high income),ECA,2004,96.0253677368164
"Literacy rate, adult female (% of females ages 15 and above)",Europe & Central Asia (IDA & IBRD),TEC,2004,96.3704071044922
"Literacy rate, adult female (% of females ages 15 and above)",Fragile and conflict affected situations,FCS,2004,55.5555114746094
"Literacy rate, adult female (% of females ages 15 and above)",Heavily indebted poor countries (HIPC),HPC,2004,44.2846908569336
"Literacy rate, adult female (% of females ages 15 and above)",IBRD only,IBD,2004,79.0159912109375
"Literacy rate, adult female (% of females ages 15 and above)",IDA & IBRD total,IBT,2004,73.427848815918
"Literacy rate, adult female (% of females ages 15 and above)",IDA blend,IDB,2004,49.8511390686035
"Literacy rate, adult female (% of females ages 15 and above)",IDA only,IDX,2004,49.5943412780762
"Literacy rate, adult female (% of females ages 15 and above)",IDA total,IDA,2004,49.6789817810059
"Literacy rate, adult female (% of females ages 15 and above)",Late-demographic dividend,LTE,2004,89.7380676269531
"Literacy rate, adult female (% of females ages 15 and above)",Latin America & Caribbean,LCN,2004,89.263557434082
"Literacy rate, adult female (% of females ages 15 and above)",Latin America & Caribbean (excluding high income),LAC,2004,88.6899795532227
"Literacy rate, adult female (% of females ages 15 and above)",Latin America & Caribbean (IDA & IBRD),TLA,2004,88.980712890625
"Literacy rate, adult female (% of females ages 15 and above)",Least developed countries: UN classification,LDC,2004,46.0701713562012
"Literacy rate, adult female (% of females ages 15 and above)",Low & middle income,LMY,2004,73.0465087890625
"Literacy rate, adult female (% of females ages 15 and above)",Low income,LIC,2004,44.0487213134766
"Literacy rate, adult female (% of females ages 15 and above)",Lower middle income,LMC,2004,57.9431381225586
"Literacy rate, adult female (% of females ages 15 and above)",Middle East & North Africa,MEA,2004,64.8845977783203
"Literacy rate, adult female (% of females ages 15 and above)",Middle East & North Africa (excluding high income),MNA,2004,63.0295295715332
"Literacy rate, adult female (% of females ages 15 and above)",Middle East & North Africa (IDA & IBRD),TMN,2004,62.7867012023926
"Literacy rate, adult female (% of females ages 15 and above)",Middle income,MIC,2004,75.063606262207
"Literacy rate, adult female (% of females ages 15 and above)",North America,NAC,2004,98.4985733032227
"Literacy rate, adult female (% of females ages 15 and above)",Other small states,OSS,2004,78.0881576538086
"Literacy rate, adult female (% of females ages 15 and above)",Pre-demographic dividend,PRE,2004,47.5133018493652
"Literacy rate, adult female (% of females ages 15 and above)",Small states,SST,2004,81.5459671020508
"Literacy rate, adult female (% of females ages 15 and above)",South Asia,SAS,2004,48.8937492370605
"Literacy rate, adult female (% of females ages 15 and above)",South Asia (IDA & IBRD),TSA,2004,48.8937492370605
"Literacy rate, adult female (% of females ages 15 and above)",Sub-Saharan Africa,SSF,2004,50.4735794067383
"Literacy rate, adult female (% of females ages 15 and above)",Sub-Saharan Africa (excluding high income),SSA,2004,50.4673614501953
"Literacy rate, adult female (% of females ages 15 and above)",Sub-Saharan Africa (IDA & IBRD),TSS,2004,50.4735794067383
"Literacy rate, adult female (% of females ages 15 and above)",Upper middle income,UMC,2004,89.2224502563477
"Literacy rate, adult female (% of females ages 15 and above)",World,WLD,2004,77.4212417602539
"Literacy rate, youth female (% of females ages 15-24)",Africa Eastern and Southern,AFE,2004,70.2496337890625
"Literacy rate, youth female (% of females ages 15-24)",Africa Western and Central,AFW,2004,54.9757499694824
"Literacy rate, youth female (% of females ages 15-24)",Arab World,ARB,2004,78.9274215698242
"Literacy rate, youth female (% of females ages 15-24)",Caribbean small states,CSS,2004,96.7733993530273
"Literacy rate, youth female (% of females ages 15-24)",Early-demographic dividend,EAR,2004,79.0059280395508
"Literacy rate, youth female (% of females ages 15-24)",East Asia & Pacific,EAS,2004,97.855583190918
"Literacy rate, youth female (% of females ages 15-24)",East Asia & Pacific (excluding high income),EAP,2004,98.0430603027344
"Literacy rate, youth female (% of females ages 15-24)",East Asia & Pacific (IDA & IBRD),TEA,2004,98.0212097167969
"Literacy rate, youth female (% of females ages 15-24)",Europe & Central Asia,ECS,2004,98.9146728515625
"Literacy rate, youth female (% of females ages 15-24)",Europe & Central Asia (excluding high income),ECA,2004,98.5027465820312
"Literacy rate, youth female (% of females ages 15-24)",Europe & Central Asia (IDA & IBRD),TEC,2004,98.5885696411133
"Literacy rate, youth female (% of females ages 15-24)",Fragile and conflict affected situations,FCS,2004,65.0602416992188
"Literacy rate, youth female (% of females ages 15-24)",Heavily indebted poor countries (HIPC),HPC,2004,58.047420501709
"Literacy rate, youth female (% of females ages 15-24)",IBRD only,IBD,2004,89.9617614746094
"Literacy rate, youth female (% of females ages 15-24)",IDA & IBRD total,IBT,2004,83.6766815185547
"Literacy rate, youth female (% of females ages 15-24)",IDA blend,IDB,2004,64.9289703369141
"Literacy rate, youth female (% of females ages 15-24)",IDA only,IDX,2004,63.9606513977051
"Literacy rate, youth female (% of females ages 15-24)",IDA total,IDA,2004,64.2840194702148
"Literacy rate, youth female (% of females ages 15-24)",Late-demographic dividend,LTE,2004,97.9738693237305
"Literacy rate, youth female (% of females ages 15-24)",Latin America & Caribbean,LCN,2004,96.8642196655273
"Literacy rate, youth female (% of females ages 15-24)",Latin America & Caribbean (excluding high income),LAC,2004,96.7138290405273
"Literacy rate, youth female (% of females ages 15-24)",Latin America & Caribbean (IDA & IBRD),TLA,2004,96.8180465698242
"Literacy rate, youth female (% of females ages 15-24)",Least developed countries: UN classification,LDC,2004,61.2081489562988
"Literacy rate, youth female (% of females ages 15-24)",Low & middle income,LMY,2004,83.4751205444336
"Literacy rate, youth female (% of females ages 15-24)",Low income,LIC,2004,55.8415718078613
"Literacy rate, youth female (% of females ages 15-24)",Lower middle income,LMC,2004,74.9429702758789
"Literacy rate, youth female (% of females ages 15-24)",Middle East & North Africa,MEA,2004,84.6154022216797
"Literacy rate, youth female (% of females ages 15-24)",Middle East & North Africa (excluding high income),MNA,2004,83.482421875
"Literacy rate, youth female (% of females ages 15-24)",Middle East & North Africa (IDA & IBRD),TMN,2004,83.3173217773438
"Literacy rate, youth female (% of females ages 15-24)",Middle income,MIC,2004,86.0035781860352
"Literacy rate, youth female (% of females ages 15-24)",North America,NAC,2004,99.5424575805664
"Literacy rate, youth female (% of females ages 15-24)",OECD members,OED,2004,98.1797409057617
"Literacy rate, youth female (% of females ages 15-24)",Other small states,OSS,2004,87.9520797729492
"Literacy rate, youth female (% of females ages 15-24)",Pre-demographic dividend,PRE,2004,61.3805999755859
"Literacy rate, youth female (% of females ages 15-24)",Small states,SST,2004,90.1866302490234
"Literacy rate, youth female (% of females ages 15-24)",South Asia,SAS,2004,69.1901397705078
"Literacy rate, youth female (% of females ages 15-24)",South Asia (IDA & IBRD),TSA,2004,69.1901397705078
"Literacy rate, youth female (% of females ages 15-24)",Sub-Saharan Africa,SSF,2004,64.2113571166992
"Literacy rate, youth female (% of females ages 15-24)",Sub-Saharan Africa (excluding high income),SSA,2004,64.2079696655273
"Literacy rate, youth female (% of females ages 15-24)",Sub-Saharan Africa (IDA & IBRD),TSS,2004,64.2113571166992
"Literacy rate, youth female (% of females ages 15-24)",Upper middle income,UMC,2004,98.1384124755859
"Literacy rate, youth female (% of females ages 15-24)",World,WLD,2004,85.4668502807617
"Literacy rate, youth total (% of people ages 15-24)",Africa Eastern and Southern,AFE,2004,74.7098999023438
"Literacy rate, youth total (% of people ages 15-24)",Africa Western and Central,AFW,2004,63.105598449707
"Literacy rate, youth total (% of people ages 15-24)",Arab World,ARB,2004,84.4855804443359
"Literacy rate, youth total (% of people ages 15-24)",Caribbean small states,CSS,2004,95.0213775634766
"Literacy rate, youth total (% of people ages 15-24)",Early-demographic dividend,EAR,2004,83.431022644043
"Literacy rate, youth total (% of people ages 15-24)",East Asia & Pacific,EAS,2004,98.0872268676758
"Literacy rate, youth total (% of people ages 15-24)",East Asia & Pacific (excluding high income),EAP,2004,98.2522888183594
"Literacy rate, youth total (% of people ages 15-24)",East Asia & Pacific (IDA & IBRD),TEA,2004,98.23291015625
"Literacy rate, youth total (% of people ages 15-24)",Europe & Central Asia,ECS,2004,99.1044006347656
"Literacy rate, youth total (% of people ages 15-24)",Europe & Central Asia (excluding high income),ECA,2004,98.9100570678711
"Literacy rate, youth total (% of people ages 15-24)",Europe & Central Asia (IDA & IBRD),TEC,2004,98.9393920898438
"Literacy rate, youth total (% of people ages 15-24)",Fragile and conflict affected situations,FCS,2004,71.6313629150391
"Literacy rate, youth total (% of people ages 15-24)",Heavily indebted poor countries (HIPC),HPC,2004,64.633659362793
"Literacy rate, youth total (% of people ages 15-24)",IBRD only,IBD,2004,92.1187362670898
"Literacy rate, youth total (% of people ages 15-24)",IDA & IBRD total,IBT,2004,86.9153518676758
"Literacy rate, youth total (% of people ages 15-24)",IDA blend,IDB,2004,73.1200485229492
"Literacy rate, youth total (% of people ages 15-24)",IDA only,IDX,2004,69.2341003417969
"Literacy rate, youth total (% of people ages 15-24)",IDA total,IDA,2004,70.5397872924805
"Literacy rate, youth total (% of people ages 15-24)",Late-demographic dividend,LTE,2004,98.191650390625
"Literacy rate, youth total (% of people ages 15-24)",Latin America & Caribbean,LCN,2004,96.4607391357422
"Literacy rate, youth total (% of people ages 15-24)",Latin America & Caribbean (excluding high income),LAC,2004,96.3277816772461
"Literacy rate, youth total (% of people ages 15-24)",Latin America & Caribbean (IDA & IBRD),TLA,2004,96.4116897583008
"Literacy rate, youth total (% of people ages 15-24)",Least developed countries: UN classification,LDC,2004,67.054817199707
"Literacy rate, youth total (% of people ages 15-24)",Low & middle income,LMY,2004,86.7652893066406
"Literacy rate, youth total (% of people ages 15-24)",Low income,LIC,2004,63.6436386108398
"Literacy rate, youth total (% of people ages 15-24)",Lower middle income,LMC,2004,80.2409362792969
"Literacy rate, youth total (% of people ages 15-24)",Middle East & North Africa,MEA,2004,88.9125289916992
"Literacy rate, youth total (% of people ages 15-24)",Middle East & North Africa (excluding high income),MNA,2004,88.0931625366211
"Literacy rate, youth total (% of people ages 15-24)",Middle East & North Africa (IDA & IBRD),TMN,2004,87.9774398803711
"Literacy rate, youth total (% of people ages 15-24)",Middle income,MIC,2004,88.8480072021484
"Literacy rate, youth total (% of people ages 15-24)",North America,NAC,2004,99.5817794799805
"Literacy rate, youth total (% of people ages 15-24)",OECD members,OED,2004,98.3919219970703
"Literacy rate, youth total (% of people ages 15-24)",Other small states,OSS,2004,88.808837890625
"Literacy rate, youth total (% of people ages 15-24)",Pre-demographic dividend,PRE,2004,68.0412521362305
"Literacy rate, youth total (% of people ages 15-24)",Small states,SST,2004,90.4285888671875
"Literacy rate, youth total (% of people ages 15-24)",South Asia,SAS,2004,76.1294403076172
"Literacy rate, youth total (% of people ages 15-24)",South Asia (IDA & IBRD),TSA,2004,76.1294403076172
"Literacy rate, youth total (% of people ages 15-24)",Sub-Saharan Africa,SSF,2004,70.0917434692383
"Literacy rate, youth total (% of people ages 15-24)",Sub-Saharan Africa (excluding high income),SSA,2004,70.0888214111328
"Literacy rate, youth total (% of people ages 15-24)",Sub-Saharan Africa (IDA & IBRD),TSS,2004,70.0917434692383
"Literacy rate, youth total (% of people ages 15-24)",Upper middle income,UMC,2004,98.2936172485352
"Literacy rate, youth total (% of people ages 15-24)",World,WLD,2004,88.3321304321289
"Literacy rate, youth (ages 15-24), gender parity index (GPI)",Africa Eastern and Southern,AFE,2004,0.884720027446747
"Literacy rate, youth (ages 15-24), gender parity index (GPI)",Africa Western and Central,AFW,2004,0.772560000419617
"Literacy rate, youth (ages 15-24), gender parity index (GPI)",Arab World,ARB,2004,0.879159986972809
"Literacy rate, youth (ages 15-24), gender parity index (GPI)",Caribbean small states,CSS,2004,1.03568994998932
"Literacy rate, youth (ages 15-24), gender parity index (GPI)",Early-demographic dividend,EAR,2004,0.901059985160828
"Literacy rate, youth (ages 15-24), gender parity index (GPI)",East Asia & Pacific,EAS,2004,0.995389997959137
"Literacy rate, youth (ages 15-24), gender parity index (GPI)",East Asia & Pacific (excluding high income),EAP,2004,0.995850026607513
"Literacy rate, youth (ages 15-24), gender parity index (GPI)",East Asia & Pacific (IDA & IBRD),TEA,2004,0.995800018310547
"Literacy rate, youth (ages 15-24), gender parity index (GPI)",Europe & Central Asia,ECS,2004,0.996039986610413
"Literacy rate, youth (ages 15-24), gender parity index (GPI)",Europe & Central Asia (excluding high income),ECA,2004,0.991490006446838
"Literacy rate, youth (ages 15-24), gender parity index (GPI)",Europe & Central Asia (IDA & IBRD),TEC,2004,0.992709994316101
