tertiary
country_name,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Romania,,,,5 718.0,4 089.3,5 718.5,6 712.2,6 565.0,7 062.7,7 928.2,9 914.2,9 602.4
Russia,,7 181.6,6 998.2,7 711.0,8 709.7,8 925.8,8 177.8,8 538.1,7 312.9,9 024.1,,
Slovak Republic,6 728.5,7 191.2,8 210.5,9 281.7,10 224.6,11 233.5,15 912.0,10 979.7,11 404.5,11 991.8,13 288.3,14 636.7
Slovenia,,8 982.0,9 863.6,10 014.5,9 865.0,10 036.8,10 255.7,11 487.9,12 729.9,14 076.5,15 754.6,17 795.2
Spain,13 254.9,13 191.5,13 024.6,12 083.0,12 699.1,12 524.1,12 664.0,12 866.6,13 430.4,13 803.6,14 706.6,14 360.9
Sweden,20 755.1,20 634.9,21 083.5,23 141.6,23 817.1,24 508.8,24 679.2,24 841.3,25 200.3,26 131.8,26 907.3,26 214.7
Switzerland,,,,24 848.3,,,,,,,,
Türkiye,,,10 815.4,11 227.0,11 076.2,11 212.3,10 408.8,10 592.4,9 631.1,10 013.3,9 770.9,9 287.8
United Kingdom,,,,24 111.7,25 613.5,24 345.5,26 506.3,26 188.9,28 042.6,29 730.3,30 063.3,29 533.5
United States,26 996.1,25 681.1,26 202.9,27 527.0,27 578.9,29 328.2,30 001.3,31 306.9,33 063.3,34 035.5,35 346.9,36 172.0
