Series Name,Series Code,Country Name,Country Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,IDA total,IDA,2.81261992454529,3.11453998088837,2.98435497283936,..,3.09853005409241,3.1739399433136,3.34388995170593,3.17111992835999,3.4344699382782,3.30608010292053,3.31992995738984,3.39419174194336,3.28257989883423,3.53558993339539,3.32295989990234,3.48568081855774,3.66002678871155,3.37276005744934,3.17497336864472,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Late-demographic dividend,LTE,4.07934999465942,3.9797899723053,3.91671991348267,4.20983982086182,4.1646499633789,4.63024997711181,4.25867486000061,4.10555005073548,4.16420984268188,4.29638004302979,4.33084011077881,4.47038984298706,4.34598445892334,4.25155448913574,4.06468784809113,3.94788980484009,4.39932179450989,4.08315861225128,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Latin America & Caribbean,LCN,3.91254997253418,..,3.91671991348267,4.08301019668579,4.82006978988647,5.46355009078979,4.83382987976074,4.46608018875122,4.64307022094727,4.87855005264282,4.69056987762451,4.47038984298706,4.36420011520386,4.46804499626159,4.46144795417786,4.55530500411987,4.58156108856201,3.74731349945068,3.81911444664002,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Latin America & Caribbean (excluding high income),LAC,4.02691495418548,4.47908020019531,4.37217497825623,4.46260023117065,4.84440994262695,5.46355009078979,4.92676997184754,4.9162700176239,5.22446489334107,5.00464010238647,5.25747013092041,4.99870014190674,4.47721004486084,4.52686500549316,4.46144795417786,4.55530500411987,4.62572002410889,3.86040675640106,3.75098896026611,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Latin America & Caribbean (IDA & IBRD),TLA,3.74560499191284,..,3.79288995265961,3.85516512393952,4.63908982276917,5.3257451057434,4.67062997817993,4.46608018875122,4.59238719940186,4.69605016708374,4.44840502738952,4.33837985992431,4.36347413063049,4.46804499626159,4.46144795417786,4.51069021224976,4.56231546401978,3.74731349945068,3.81911444664002,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Least developed countries: UN classification,LDC,2.6897599697113,2.8372700214386,2.83097004890442,..,2.75020003318786,2.92000007629395,3.34388995170593,3.17111992835999,2.98175537586212,3.24453496932983,2.93780994415283,3.21786284446716,2.90522003173828,2.94685506820678,3.19835495948792,3.01338386535645,3.24270319938659,3.11079275608063,3.09289181232452,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Low & middle income,LMY,3.33961999416351,3.53421509265899,3.82137989997864,3.60314989089966,3.85946500301361,4.01999998092651,3.67997002601624,3.76120185852051,3.70372116565705,3.7826600074768,3.82416009902954,3.85398006439209,3.76761746406555,3.78976988792419,3.69953989982605,3.60665321350097,4.00860977172852,3.6913800239563,3.58021211624146,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Low income,LIC,3.14794993400573,..,2.83097004890442,..,2.72311997413635,3.09108507633209,2.7219500541687,3.07762002944946,2.75958490371704,3.05298495292663,3.32569003105164,3.2558000087738,2.93488502502441,2.76899003982544,3.32295989990234,3.38245391845703,3.57657194137574,3.94350361824036,3.09289181232452,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Lower middle income,LMC,3.07778000831604,3.43838500976563,3.40350008010864,..,3.91375994682312,3.90160501003266,3.69457507133484,3.78820502758026,4.05141425132751,4.12252616882324,3.54012298583984,4.004634141922,3.92226004600525,3.73654007911682,3.68197274208069,3.48568081855774,3.87667298316956,3.37276005744934,3.24026989936829,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Middle East & North Africa,MEA,5.45327496528625,4.79442977905273,4.71720290184021,..,4.46613502502441,4.50946497917175,..,..,4.74210977554321,..,..,..,..,3.59650993347168,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Middle East & North Africa (excluding high income),MNA,5.02110004425048,..,4.71720290184021,4.73075985908508,4.46613502502441,4.83119010925293,4.05070173740387,..,5.10344982147217,..,..,4.66321992874146,3.92226004600525,3.73344993591309,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Middle East & North Africa (IDA & IBRD),TMN,5.02110004425048,..,4.71720290184021,4.73075985908508,4.46613502502441,4.83119010925293,..,..,5.46478986740112,..,..,4.53210854530334,3.68754005432129,3.59650993347168,3.68561005592346,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Middle income,MIC,3.46711003780365,3.81596994400025,3.84381997585296,3.60314989089966,3.95851993560791,4.27429008483887,3.85279715061187,3.84261989593506,4.05141425132751,4.09037804603576,3.97042989730835,4.02387511730194,3.93593001365662,4.02321231365204,3.80774164199829,3.73739981651306,4.21106672286987,3.67454195022583,3.58259510993958,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,North America,NAC,6.2537636756897,5.4684317111969,6.16402912139893,5.50486421585083,5.53110313415528,5.78963923454285,6.02546191215515,5.8798668384552,5.47323679924011,5.40913391113281,5.48639774322509,4.84308004379272,4.81154012680054,5.04142498970032,4.90893507003784,4.88010501861572,5.16169500350952,4.59400606155396,4.13957166671753,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,OECD members,OED,5.05467510223389,4.92684984207153,4.87443995475769,4.71541023254395,4.90607023239136,5.2828950881958,5.356369972229,5.10953998565674,4.93892502784729,5.12516522407532,5.14427495002746,4.99559020996094,4.90681982040405,4.96131992340088,4.9294900894165,5.00083494186401,5.33907985687256,5.04434299468994,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Other small states,OSS,5.13917994499207,6.28667020797729,6.03171014785767,..,5.94373488426208,6.21570014953613,5.02872490882874,5.01449012756348,4.71772003173828,4.84388017654419,5.61812996864318,5.24956846237183,5.29559659957886,4.96131992340088,4.96055603027343,4.87746000289917,4.85627222061157,4.98077940940857,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Pacific island small states,PSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Post-demographic dividend,PST,5.17428016662598,5.10939979553223,5.00697135925293,4.90415000915528,4.90607023239136,5.0701699256897,5.356369972229,5.11838006973267,4.95964002609253,5.22909021377563,5.16454982757568,4.95793271064758,4.92138719558716,4.95996999740601,4.93008995056152,4.98338484764099,5.33697986602783,5.04169225692749,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Pre-demographic dividend,PRE,2.80395996570588,2.6566801071167,2.56096005439758,..,2.55433988571167,3.00463509559632,3.24651002883911,2.97169005870819,2.88159990310669,3.30608010292053,3.1727499961853,3.2558000087738,2.93488502502441,3.63261497020722,3.26730489730835,3.4834486246109,3.45723032951355,3.15416705608368,3.04676365852356,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Small states,SST,4.87674999237061,5.54847002029419,6.03171014785767,..,6.19131994247437,6.19848012924194,5.51778984069824,5.64056515693665,4.71772003173828,4.84388017654419,5.41550493240356,5.24956846237183,5.23612499237061,4.96131992340088,4.96055603027343,4.85279512405396,4.85627222061157,4.98077940940857,4.84420013427734,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,South Asia,SAS,2.55604004859924,3.18875002861023,3.14284992218018,3.07624006271362,3.27569997310639,2.93451499938965,3.377690076828,2.84187996387482,2.37023997306824,2.84806311130524,2.97596204280853,2.95290994644165,3.22929000854492,3.06104683876038,2.15998977422714,2.21491765975952,2.05718231201172,1.83117997646332,1.97361761331558,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,South Asia (IDA & IBRD),TSA,2.55604004859924,3.18875002861023,3.14284992218018,3.07624006271362,3.27569997310639,2.93451499938965,3.377690076828,2.84187996387482,2.37023997306824,2.84806311130524,2.97596204280853,2.95290994644165,3.22929000854492,3.06104683876038,2.15998977422714,2.21491765975952,2.05718231201172,1.83117997646332,1.97361761331558,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Sub-Saharan Africa,SSF,3.07778000831604,3.3096399307251,2.92044496536255,..,3.06307005882263,3.13160502910614,3.37994718551635,3.28603506088256,3.45361495018006,3.68952989578247,3.38488006591797,3.67008996009827,3.35868489742279,3.73654007911682,3.50772500038147,3.55504989624023,3.81920099258423,3.54701817035675,3.22458589076996,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Sub-Saharan Africa (excluding high income),SSA,3.07778000831604,3.3096399307251,2.92044496536255,..,3.06307005882263,3.13160502910614,3.37994718551635,3.28603506088256,3.45361495018006,3.68952989578247,3.38488006591797,3.67008996009827,3.35868489742279,3.73654007911682,3.50772500038147,3.55504989624023,3.81920099258423,3.54701817035675,3.22458589076996,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Sub-Saharan Africa (IDA & IBRD),TSS,3.07778000831604,3.3096399307251,2.92044496536255,..,3.06307005882263,3.13160502910614,3.37994718551635,3.28603506088256,3.45361495018006,3.68952989578247,3.38488006591797,3.67008996009827,3.35868489742279,3.73654007911682,3.50772500038147,3.55504989624023,3.81920099258423,3.54701817035675,3.22458589076996,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Upper middle income,UMC,3.91254997253418,3.9797899723053,3.91671991348267,3.64509499073028,4.03013491630554,4.47064161300659,3.95302498340607,4.221519947052,4.05415201187134,4.05822992324829,4.07005310058594,4.14576494693756,4.15403723716736,4.18488502502441,4.08861923217774,3.97953963279724,4.34224486351013,3.72469675540924,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,World,WLD,4.03088998794556,4.09349989891052,4.15651512145996,4.09402012825012,4.35563492774964,4.48398017883301,4.27750992774964,4.22993993759155,4.22964286804199,4.34961986541748,4.25936794281006,4.28457021713257,4.22544002532959,4.2559585571289,4.11181426048279,4.18685626983643,4.44407677650451,4.18103384971618,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Africa Western and Central,AFW,..,..,..,..,..,..,..,21.36241,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Caribbean small states,CSS,18.0983,19.3919,..,20.67751,27.82381,23.93507,25.0147,26.91643,..,30.84302,24.15659,28.75004,27.60237,27.15691,29.72732,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Central Europe and the Baltics,CEB,21.12918,21.074695,19.82809,20.1969,22.40992,23.35568,23.1741,22.015035,20.722375,22.533805,23.07045,22.25324,22.30415,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Early-demographic dividend,EAR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,East Asia & Pacific,EAS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,East Asia & Pacific (excluding high income),EAP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,East Asia & Pacific (IDA & IBRD),TEA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Euro area,EMU,24.89156,24.221935,24.58835,23.70022,26.29943,28.70418,28.074085,26.962405,25.94711,24.52636,24.436335,23.262015,23.031085,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Europe & Central Asia,ECS,23.79821,..,..,22.93953,25.76982,28.30466,27.21625,25.89151,25.26151,23.462365,23.656035,23.00137,23.02147,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Europe & Central Asia (IDA & IBRD),TEC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,European Union,EUU,23.134615,22.88599,22.87955,22.90471,25.76982,28.141645,27.67082,25.89151,24.41199,23.73269,23.656035,23.00137,23.02147,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,High income,HIC,22.780515,22.6056,22.815025,22.80694,25.24489,26.33503,26.170275,23.86739,23.04534,23.04756,22.87626,22.73967,22.56102,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,IDA & IBRD total,IBT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,IDA blend,IDB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,IDA only,IDX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Late-demographic dividend,LTE,17.089335,..,..,..,17.85923,20.54694,19.96232,20.47797,..,20.0836,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Latin America & Caribbean,LCN,12.449425,12.63158,..,12.64539,14.912265,16.28547,15.0084,14.55474,13.49473,15.885795,15.39478,15.20393,15.0163,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Latin America & Caribbean (excluding high income),LAC,12.94152,13.00607,..,12.333665,14.72197,15.38007,14.031145,14.43288,12.3136,15.885795,15.39478,15.20393,14.91552,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Latin America & Caribbean (IDA & IBRD),TLA,11.95733,11.65195,..,11.86758,14.72197,15.83277,14.031145,14.55474,13.49473,15.53822,15.2483,15.20393,15.0163,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,15.26261,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Low & middle income,LMY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Low income,LIC,..,..,..,..,..,..,..,22.057415,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Lower middle income,LMC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Middle East & North Africa,MEA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Middle East & North Africa (excluding high income),MNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Middle East & North Africa (IDA & IBRD),TMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Middle income,MIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,North America,NAC,..,..,..,..,..,..,24.28969,21.111395,22.76782,22.58939,22.36455,21.68055,22.1348,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,OECD members,OED,23.05623,22.88599,22.87955,22.80694,25.24489,26.9248,26.05485,24.822315,23.04534,23.19542,23.07045,22.73967,22.432585,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Other small states,OSS,..,33.371415,..,..,27.92324,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Pacific island small states,PSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Post-demographic dividend,PST,25.683165,25.378395,24.92199,24.6169,25.37782,27.61234,26.2857,25.89147,24.1497,24.117755,23.775505,23.05669,23.048605,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Pre-demographic dividend,PRE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,Small states,SST,..,32.41409,..,..,27.873525,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
