Country Name,Country Code,Indicator Name,Indicator Code
European Union,EUU,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
European Union,EUU,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
European Union,EUU,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
European Union,EUU,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Heavily indebted poor countries (HIPC),HPC,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Heavily indebted poor countries (HIPC),HPC,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Heavily indebted poor countries (HIPC),HPC,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Heavily indebted poor countries (HIPC),HPC,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Heavily indebted poor countries (HIPC),HPC,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Heavily indebted poor countries (HIPC),HPC,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
High income,HIC,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
High income,HIC,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
High income,HIC,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
High income,HIC,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
High income,HIC,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
High income,HIC,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Latin America & Caribbean,LCN,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Latin America & Caribbean,LCN,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Latin America & Caribbean,LCN,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Latin America & Caribbean,LCN,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Latin America & Caribbean,LCN,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Latin America & Caribbean,LCN,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Latin America & Caribbean (excluding high income),LAC,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Latin America & Caribbean (excluding high income),LAC,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Latin America & Caribbean (excluding high income),LAC,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Latin America & Caribbean (excluding high income),LAC,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Latin America & Caribbean (excluding high income),LAC,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Latin America & Caribbean (excluding high income),LAC,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Least developed countries: UN classification,LDC,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Least developed countries: UN classification,LDC,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Least developed countries: UN classification,LDC,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Least developed countries: UN classification,LDC,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Least developed countries: UN classification,LDC,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Least developed countries: UN classification,LDC,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Low & middle income,LMY,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Low & middle income,LMY,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Low & middle income,LMY,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Low & middle income,LMY,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Low & middle income,LMY,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Low & middle income,LMY,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Low income,LIC,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Low income,LIC,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Low income,LIC,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Low income,LIC,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Low income,LIC,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Low income,LIC,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Lower middle income,LMC,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Lower middle income,LMC,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Lower middle income,LMC,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Lower middle income,LMC,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Lower middle income,LMC,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Lower middle income,LMC,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Middle East & North Africa,MEA,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Middle East & North Africa,MEA,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Middle East & North Africa,MEA,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Middle East & North Africa,MEA,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Middle East & North Africa,MEA,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Middle East & North Africa,MEA,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Middle East & North Africa (excluding high income),MNA,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Middle East & North Africa (excluding high income),MNA,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Middle East & North Africa (excluding high income),MNA,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Middle East & North Africa (excluding high income),MNA,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Middle East & North Africa (excluding high income),MNA,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Middle East & North Africa (excluding high income),MNA,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Middle income,MIC,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Middle income,MIC,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Middle income,MIC,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Middle income,MIC,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Middle income,MIC,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Middle income,MIC,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
North America,NAC,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
North America,NAC,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
North America,NAC,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
North America,NAC,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
North America,NAC,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
North America,NAC,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
OECD members,OED,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
OECD members,OED,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
OECD members,OED,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
OECD members,OED,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
OECD members,OED,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
OECD members,OED,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
South Asia,SAS,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
South Asia,SAS,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
South Asia,SAS,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
South Asia,SAS,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
South Asia,SAS,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
South Asia,SAS,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Sub-Saharan Africa,SSF,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Sub-Saharan Africa,SSF,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Sub-Saharan Africa,SSF,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Sub-Saharan Africa,SSF,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Sub-Saharan Africa,SSF,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Sub-Saharan Africa,SSF,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Sub-Saharan Africa (excluding high income),SSA,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Sub-Saharan Africa (excluding high income),SSA,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Sub-Saharan Africa (excluding high income),SSA,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Sub-Saharan Africa (excluding high income),SSA,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Sub-Saharan Africa (excluding high income),SSA,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Sub-Saharan Africa (excluding high income),SSA,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Upper middle income,UMC,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Upper middle income,UMC,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Upper middle income,UMC,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Upper middle income,UMC,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Upper middle income,UMC,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Upper middle income,UMC,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
World,WLD,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
World,WLD,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
World,WLD,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
World,WLD,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
World,WLD,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
World,WLD,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Afghanistan,AFG,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Afghanistan,AFG,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Afghanistan,AFG,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Afghanistan,AFG,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Afghanistan,AFG,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Afghanistan,AFG,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Albania,ALB,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Albania,ALB,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Albania,ALB,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Albania,ALB,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Albania,ALB,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Albania,ALB,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Algeria,DZA,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Algeria,DZA,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Algeria,DZA,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Algeria,DZA,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Algeria,DZA,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Algeria,DZA,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
American Samoa,ASM,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
American Samoa,ASM,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
American Samoa,ASM,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
American Samoa,ASM,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
American Samoa,ASM,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
American Samoa,ASM,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Andorra,AND,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Andorra,AND,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Andorra,AND,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Andorra,AND,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Andorra,AND,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Andorra,AND,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Angola,AGO,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Angola,AGO,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Angola,AGO,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Angola,AGO,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Angola,AGO,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Angola,AGO,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Antigua and Barbuda,ATG,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Antigua and Barbuda,ATG,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Antigua and Barbuda,ATG,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Antigua and Barbuda,ATG,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Antigua and Barbuda,ATG,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Antigua and Barbuda,ATG,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Argentina,ARG,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Argentina,ARG,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Argentina,ARG,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Argentina,ARG,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Argentina,ARG,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Argentina,ARG,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Armenia,ARM,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Armenia,ARM,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Armenia,ARM,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Armenia,ARM,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Armenia,ARM,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Armenia,ARM,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Aruba,ABW,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Aruba,ABW,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Aruba,ABW,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Aruba,ABW,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Aruba,ABW,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Aruba,ABW,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Australia,AUS,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Australia,AUS,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Australia,AUS,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Australia,AUS,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Australia,AUS,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Australia,AUS,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Austria,AUT,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Austria,AUT,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Austria,AUT,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Austria,AUT,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Austria,AUT,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Austria,AUT,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Azerbaijan,AZE,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Azerbaijan,AZE,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Azerbaijan,AZE,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Azerbaijan,AZE,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Azerbaijan,AZE,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Azerbaijan,AZE,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
"Bahamas, The",BHS,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
"Bahamas, The",BHS,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
"Bahamas, The",BHS,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
"Bahamas, The",BHS,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
"Bahamas, The",BHS,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
"Bahamas, The",BHS,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Bahrain,BHR,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Bahrain,BHR,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Bahrain,BHR,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Bahrain,BHR,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Bahrain,BHR,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Bahrain,BHR,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Bangladesh,BGD,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Bangladesh,BGD,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Bangladesh,BGD,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Bangladesh,BGD,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Bangladesh,BGD,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Bangladesh,BGD,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Barbados,BRB,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Barbados,BRB,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Barbados,BRB,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Barbados,BRB,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Barbados,BRB,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Barbados,BRB,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Belarus,BLR,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Belarus,BLR,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Belarus,BLR,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Belarus,BLR,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Belarus,BLR,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Belarus,BLR,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Belgium,BEL,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Belgium,BEL,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Belgium,BEL,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Belgium,BEL,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Belgium,BEL,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Belgium,BEL,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Belize,BLZ,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Belize,BLZ,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Belize,BLZ,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Belize,BLZ,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Belize,BLZ,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Belize,BLZ,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Benin,BEN,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Benin,BEN,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Benin,BEN,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Benin,BEN,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Benin,BEN,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Benin,BEN,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Bermuda,BMU,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Bermuda,BMU,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Bermuda,BMU,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
Bermuda,BMU,Government expenditure per secondary student (US$),UIS.XUNIT.US.23.FSGOV
Bermuda,BMU,Government expenditure per tertiary student (constant US$),UIS.XUNIT.USCONST.56.FSGOV
Bermuda,BMU,Government expenditure per tertiary student (US$),UIS.XUNIT.US.56.FSGOV
Bhutan,BTN,Government expenditure per primary student (constant US$),UIS.XUNIT.USCONST.1.FSGOV
Bhutan,BTN,Government expenditure per primary student (US$),UIS.XUNIT.US.1.FSGOV
Bhutan,BTN,Government expenditure per secondary student (constant US$),UIS.XUNIT.USCONST.23.FSGOV
