Country Name,Country Code,Indicator Name,Indicator Code,2014
Armenia,ARM,Labor force with advanced education (% of total),SL.TLF.ADVN.ZS,40.27000046
Armenia,ARM,"Labor force with advanced education, female (% of female labor force)",SL.TLF.ADVN.FE.ZS,35.72999954
Armenia,ARM,"Labor force with advanced education, male (% of male labor force)",SL.TLF.ADVN.MA.ZS,46.79000092
Armenia,ARM,Labor force with basic education (% of total),SL.TLF.BASC.ZS,32.43000031
Armenia,ARM,"Labor force with basic education, female (% of female labor force)",SL.TLF.BASC.FE.ZS,26.25
Armenia,ARM,"Labor force with basic education, male (% of male labor force)",SL.TLF.BASC.MA.ZS,38.27000046
Armenia,ARM,Labor force with intermediate education (% of total),SL.TLF.INTM.ZS,79.43000031
Armenia,ARM,"Labor force with intermediate education, female (% of female labor force)",SL.TLF.INTM.FE.ZS,80.48999786
Armenia,ARM,"Labor force with intermediate education, male (% of male labor force)",SL.TLF.INTM.MA.ZS,78.47000122
Armenia,ARM,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,46.92976771
Armenia,ARM,"Labor force, total",SL.TLF.TOTL.IN,1411929
Australia,AUS,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,45.70645726
Australia,AUS,"Labor force, total",SL.TLF.TOTL.IN,12332671
Austria,AUT,Labor force with advanced education (% of total),SL.TLF.ADVN.ZS,76.80000305
Austria,AUT,"Labor force with advanced education, female (% of female labor force)",SL.TLF.ADVN.FE.ZS,77.51000214
Austria,AUT,"Labor force with advanced education, male (% of male labor force)",SL.TLF.ADVN.MA.ZS,76.16999817
Austria,AUT,Labor force with basic education (% of total),SL.TLF.BASC.ZS,36.79999924
Austria,AUT,"Labor force with basic education, female (% of female labor force)",SL.TLF.BASC.FE.ZS,30.90999985
Austria,AUT,"Labor force with basic education, male (% of male labor force)",SL.TLF.BASC.MA.ZS,46.75
Austria,AUT,Labor force with intermediate education (% of total),SL.TLF.INTM.ZS,64.25
Austria,AUT,"Labor force with intermediate education, female (% of female labor force)",SL.TLF.INTM.FE.ZS,59.93000031
Austria,AUT,"Labor force with intermediate education, male (% of male labor force)",SL.TLF.INTM.MA.ZS,68.31999969
Austria,AUT,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,46.69410111
Austria,AUT,"Labor force, total",SL.TLF.TOTL.IN,4409542
Azerbaijan,AZE,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,48.94231432
Azerbaijan,AZE,"Labor force, total",SL.TLF.TOTL.IN,4788190
"Bahamas, The",BHS,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,47.73088546
"Bahamas, The",BHS,"Labor force, total",SL.TLF.TOTL.IN,228988
Bahrain,BHR,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,21.71489945
Bahrain,BHR,"Labor force, total",SL.TLF.TOTL.IN,758820
Bangladesh,BGD,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,28.05502152
Bangladesh,BGD,"Labor force, total",SL.TLF.TOTL.IN,63214612
Barbados,BRB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,50.091971
Barbados,BRB,"Labor force, total",SL.TLF.TOTL.IN,148960
Belarus,BLR,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,49.66001614
Belarus,BLR,"Labor force, total",SL.TLF.TOTL.IN,5113331
Belgium,BEL,Labor force with advanced education (% of total),SL.TLF.ADVN.ZS,75.68000031
Belgium,BEL,"Labor force with advanced education, female (% of female labor force)",SL.TLF.ADVN.FE.ZS,75.08000183
Belgium,BEL,"Labor force with advanced education, male (% of male labor force)",SL.TLF.ADVN.MA.ZS,76.37000275
Belgium,BEL,Labor force with basic education (% of total),SL.TLF.BASC.ZS,30.61000061
Belgium,BEL,"Labor force with basic education, female (% of female labor force)",SL.TLF.BASC.FE.ZS,22.54999924
Belgium,BEL,"Labor force with basic education, male (% of male labor force)",SL.TLF.BASC.MA.ZS,39.22000122
Belgium,BEL,Labor force with intermediate education (% of total),SL.TLF.INTM.ZS,60.50999832
Belgium,BEL,"Labor force with intermediate education, female (% of female labor force)",SL.TLF.INTM.FE.ZS,53.93000031
Belgium,BEL,"Labor force with intermediate education, male (% of male labor force)",SL.TLF.INTM.MA.ZS,66.66999817
Belgium,BEL,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,45.98146422
Belgium,BEL,"Labor force, total",SL.TLF.TOTL.IN,4984415
Belize,BLZ,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,39.73738115
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,158176
Benin,BEN,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,49.13352394
Benin,BEN,"Labor force, total",SL.TLF.TOTL.IN,4133813
Bhutan,BTN,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,39.1952041
Bhutan,BTN,"Labor force, total",SL.TLF.TOTL.IN,360141
Bolivia,BOL,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,42.98143276
Bolivia,BOL,"Labor force, total",SL.TLF.TOTL.IN,5052933
Bosnia and Herzegovina,BIH,Labor force with advanced education (% of total),SL.TLF.ADVN.ZS,73.66999817
Bosnia and Herzegovina,BIH,"Labor force with advanced education, female (% of female labor force)",SL.TLF.ADVN.FE.ZS,77.55000305
Bosnia and Herzegovina,BIH,"Labor force with advanced education, male (% of male labor force)",SL.TLF.ADVN.MA.ZS,70.09999847
Bosnia and Herzegovina,BIH,Labor force with basic education (% of total),SL.TLF.BASC.ZS,25.5
Bosnia and Herzegovina,BIH,"Labor force with basic education, female (% of female labor force)",SL.TLF.BASC.FE.ZS,18.78000069
Bosnia and Herzegovina,BIH,"Labor force with basic education, male (% of male labor force)",SL.TLF.BASC.MA.ZS,34.93999863
Bosnia and Herzegovina,BIH,Labor force with intermediate education (% of total),SL.TLF.INTM.ZS,58.31000137
Bosnia and Herzegovina,BIH,"Labor force with intermediate education, female (% of female labor force)",SL.TLF.INTM.FE.ZS,48.56000137
Bosnia and Herzegovina,BIH,"Labor force with intermediate education, male (% of male labor force)",SL.TLF.INTM.MA.ZS,65.19000244
Bosnia and Herzegovina,BIH,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,39.33234544
Bosnia and Herzegovina,BIH,"Labor force, total",SL.TLF.TOTL.IN,1429302
Botswana,BWA,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,46.36203496
Botswana,BWA,"Labor force, total",SL.TLF.TOTL.IN,1052484
Brazil,BRA,Labor force with advanced education (% of total),SL.TLF.ADVN.ZS,82.86799622
Brazil,BRA,"Labor force with advanced education, female (% of female labor force)",SL.TLF.ADVN.FE.ZS,80.41999817
Brazil,BRA,"Labor force with advanced education, male (% of male labor force)",SL.TLF.ADVN.MA.ZS,88.93000031
Brazil,BRA,Labor force with basic education (% of total),SL.TLF.BASC.ZS,56.65399933
Brazil,BRA,"Labor force with basic education, female (% of female labor force)",SL.TLF.BASC.FE.ZS,50.29000092
Brazil,BRA,"Labor force with basic education, male (% of male labor force)",SL.TLF.BASC.MA.ZS,75.06999969
Brazil,BRA,Labor force with intermediate education (% of total),SL.TLF.INTM.ZS,77.16000366
Brazil,BRA,"Labor force with intermediate education, female (% of female labor force)",SL.TLF.INTM.FE.ZS,68.95999908
Brazil,BRA,"Labor force with intermediate education, male (% of male labor force)",SL.TLF.INTM.MA.ZS,86.77999878
Brazil,BRA,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,42.44910576
Brazil,BRA,"Labor force, total",SL.TLF.TOTL.IN,100603038
Brunei Darussalam,BRN,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,42.53288807
Brunei Darussalam,BRN,"Labor force, total",SL.TLF.TOTL.IN,212311
Bulgaria,BGR,Labor force with advanced education (% of total),SL.TLF.ADVN.ZS,73.58999634
Bulgaria,BGR,"Labor force with advanced education, female (% of female labor force)",SL.TLF.ADVN.FE.ZS,72.23000336
Bulgaria,BGR,"Labor force with advanced education, male (% of male labor force)",SL.TLF.ADVN.MA.ZS,75.63999939
Bulgaria,BGR,Labor force with basic education (% of total),SL.TLF.BASC.ZS,26.56999969
Bulgaria,BGR,"Labor force with basic education, female (% of female labor force)",SL.TLF.BASC.FE.ZS,19.65999985
Bulgaria,BGR,"Labor force with basic education, male (% of male labor force)",SL.TLF.BASC.MA.ZS,34.5
Bulgaria,BGR,Labor force with intermediate education (% of total),SL.TLF.INTM.ZS,61.33000183
Bulgaria,BGR,"Labor force with intermediate education, female (% of female labor force)",SL.TLF.INTM.FE.ZS,54.18000031
Bulgaria,BGR,"Labor force with intermediate education, male (% of male labor force)",SL.TLF.INTM.MA.ZS,67.73000336
Bulgaria,BGR,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,46.52426167
Bulgaria,BGR,"Labor force, total",SL.TLF.TOTL.IN,3370996
Burkina Faso,BFA,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,44.71456206
Burkina Faso,BFA,"Labor force, total",SL.TLF.TOTL.IN,6360069
Burundi,BDI,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,52.40541564
Burundi,BDI,"Labor force, total",SL.TLF.TOTL.IN,4283002
Cabo Verde,CPV,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,40.60030127
Cabo Verde,CPV,"Labor force, total",SL.TLF.TOTL.IN,215092
Cambodia,KHM,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,49.96842187
Cambodia,KHM,"Labor force, total",SL.TLF.TOTL.IN,8813062
Cameroon,CMR,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,46.85173933
Cameroon,CMR,"Labor force, total",SL.TLF.TOTL.IN,9627570
Canada,CAN,Labor force with advanced education (% of total),SL.TLF.ADVN.ZS,75.74900055
Canada,CAN,"Labor force with advanced education, female (% of female labor force)",SL.TLF.ADVN.FE.ZS,73.13600159
Canada,CAN,"Labor force with advanced education, male (% of male labor force)",SL.TLF.ADVN.MA.ZS,78.51100159
Canada,CAN,Labor force with basic education (% of total),SL.TLF.BASC.ZS,38.06600189
Canada,CAN,"Labor force with basic education, female (% of female labor force)",SL.TLF.BASC.FE.ZS,29.66200066
Canada,CAN,"Labor force with basic education, male (% of male labor force)",SL.TLF.BASC.MA.ZS,46.25999832
Canada,CAN,Labor force with intermediate education (% of total),SL.TLF.INTM.ZS,64.91999817
Canada,CAN,"Labor force with intermediate education, female (% of female labor force)",SL.TLF.INTM.FE.ZS,58.61999893
Canada,CAN,"Labor force with intermediate education, male (% of male labor force)",SL.TLF.INTM.MA.ZS,71.32700348
Canada,CAN,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,47.16182569
Canada,CAN,"Labor force, total",SL.TLF.TOTL.IN,19606213
Cayman Islands,CYM,Labor force with advanced education (% of total),SL.TLF.ADVN.ZS,88.11000061
Cayman Islands,CYM,"Labor force with advanced education, female (% of female labor force)",SL.TLF.ADVN.FE.ZS,85.98000336
Cayman Islands,CYM,"Labor force with advanced education, male (% of male labor force)",SL.TLF.ADVN.MA.ZS,90.98999786
Cayman Islands,CYM,Labor force with basic education (% of total),SL.TLF.BASC.ZS,58.40999985
Cayman Islands,CYM,"Labor force with basic education, female (% of female labor force)",SL.TLF.BASC.FE.ZS,53.97999954
Cayman Islands,CYM,"Labor force with basic education, male (% of male labor force)",SL.TLF.BASC.MA.ZS,63.70999908
Cayman Islands,CYM,Labor force with intermediate education (% of total),SL.TLF.INTM.ZS,84.58000183
Cayman Islands,CYM,"Labor force with intermediate education, female (% of female labor force)",SL.TLF.INTM.FE.ZS,82.40000153
Cayman Islands,CYM,"Labor force with intermediate education, male (% of male labor force)",SL.TLF.INTM.MA.ZS,86.65000153
Central African Republic,CAF,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,45.16471008
Central African Republic,CAF,"Labor force, total",SL.TLF.TOTL.IN,1829032
Chad,TCD,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,45.67371109
Chad,TCD,"Labor force, total",SL.TLF.TOTL.IN,5052841
Channel Islands,CHI,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,43.28826864
Channel Islands,CHI,"Labor force, total",SL.TLF.TOTL.IN,80255
Chile,CHL,Labor force with advanced education (% of total),SL.TLF.ADVN.ZS,71.36000061
Chile,CHL,"Labor force with advanced education, female (% of female labor force)",SL.TLF.ADVN.FE.ZS,64.68000031
Chile,CHL,"Labor force with advanced education, male (% of male labor force)",SL.TLF.ADVN.MA.ZS,78.34999847
Chile,CHL,Labor force with basic education (% of total),SL.TLF.BASC.ZS,48.86000061
Chile,CHL,"Labor force with basic education, female (% of female labor force)",SL.TLF.BASC.FE.ZS,32.93000031
Chile,CHL,"Labor force with basic education, male (% of male labor force)",SL.TLF.BASC.MA.ZS,65.80000305
Chile,CHL,Labor force with intermediate education (% of total),SL.TLF.INTM.ZS,61.18000031
Chile,CHL,"Labor force with intermediate education, female (% of female labor force)",SL.TLF.INTM.FE.ZS,49.38999939
Chile,CHL,"Labor force with intermediate education, male (% of male labor force)",SL.TLF.INTM.MA.ZS,73.09999847
Chile,CHL,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,40.99644111
Chile,CHL,"Labor force, total",SL.TLF.TOTL.IN,8640611
China,CHN,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,43.87256505
China,CHN,"Labor force, total",SL.TLF.TOTL.IN,786598346
Colombia,COL,Labor force with advanced education (% of total),SL.TLF.ADVN.ZS,87.77999878
Colombia,COL,"Labor force with advanced education, female (% of female labor force)",SL.TLF.ADVN.FE.ZS,84.04000092
Colombia,COL,"Labor force with advanced education, male (% of male labor force)",SL.TLF.ADVN.MA.ZS,92.59999847
Colombia,COL,Labor force with basic education (% of total),SL.TLF.BASC.ZS,61.81000137
Colombia,COL,"Labor force with basic education, female (% of female labor force)",SL.TLF.BASC.FE.ZS,47.95999908
Colombia,COL,"Labor force with basic education, male (% of male labor force)",SL.TLF.BASC.MA.ZS,75.86000061
Colombia,COL,Labor force with intermediate education (% of total),SL.TLF.INTM.ZS,74.48000336
Colombia,COL,"Labor force with intermediate education, female (% of female labor force)",SL.TLF.INTM.FE.ZS,64.44999695
Colombia,COL,"Labor force with intermediate education, male (% of male labor force)",SL.TLF.INTM.MA.ZS,85.16999817
Colombia,COL,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,42.58133573
Colombia,COL,"Labor force, total",SL.TLF.TOTL.IN,25321991
Comoros,COM,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,41.29777943
Comoros,COM,"Labor force, total",SL.TLF.TOTL.IN,193284
"Congo, Dem. Rep.",COD,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,49.84660853
"Congo, Dem. Rep.",COD,"Labor force, total",SL.TLF.TOTL.IN,28649572
"Congo, Rep.",COG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,48.59556782
"Congo, Rep.",COG,"Labor force, total",SL.TLF.TOTL.IN,1959938
Costa Rica,CRI,Labor force with advanced education (% of total),SL.TLF.ADVN.ZS,77.88999939
Costa Rica,CRI,"Labor force with advanced education, female (% of female labor force)",SL.TLF.ADVN.FE.ZS,72.73999786
Costa Rica,CRI,"Labor force with advanced education, male (% of male labor force)",SL.TLF.ADVN.MA.ZS,83.47000122
Costa Rica,CRI,Labor force with basic education (% of total),SL.TLF.BASC.ZS,59.5
Costa Rica,CRI,"Labor force with basic education, female (% of female labor force)",SL.TLF.BASC.FE.ZS,43.38999939
Costa Rica,CRI,"Labor force with basic education, male (% of male labor force)",SL.TLF.BASC.MA.ZS,74.69000244
Costa Rica,CRI,Labor force with intermediate education (% of total),SL.TLF.INTM.ZS,69.09999847
Costa Rica,CRI,"Labor force with intermediate education, female (% of female labor force)",SL.TLF.INTM.FE.ZS,58.88999939
Costa Rica,CRI,"Labor force with intermediate education, male (% of male labor force)",SL.TLF.INTM.MA.ZS,79.88999939
Costa Rica,CRI,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,39.42105099
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,2314228
Cote d'Ivoire,CIV,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,40.08681827
Cote d'Ivoire,CIV,"Labor force, total",SL.TLF.TOTL.IN,7510631
Croatia,HRV,Labor force with advanced education (% of total),SL.TLF.ADVN.ZS,74.08999634
Croatia,HRV,"Labor force with advanced education, female (% of female labor force)",SL.TLF.ADVN.FE.ZS,76.69000244
Croatia,HRV,"Labor force with advanced education, male (% of male labor force)",SL.TLF.ADVN.MA.ZS,71.08000183
Croatia,HRV,Labor force with basic education (% of total),SL.TLF.BASC.ZS,22.48999977
Croatia,HRV,"Labor force with basic education, female (% of female labor force)",SL.TLF.BASC.FE.ZS,17.95000076
Croatia,HRV,"Labor force with basic education, male (% of male labor force)",SL.TLF.BASC.MA.ZS,30.07999992
Croatia,HRV,Labor force with intermediate education (% of total),SL.TLF.INTM.ZS,61.88000107
Croatia,HRV,"Labor force with intermediate education, female (% of female labor force)",SL.TLF.INTM.FE.ZS,56.81999969
Croatia,HRV,"Labor force with intermediate education, male (% of male labor force)",SL.TLF.INTM.MA.ZS,66.16999817
Croatia,HRV,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,46.47551238
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,1890445
Cuba,CUB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,38.46450929
Cuba,CUB,"Labor force, total",SL.TLF.TOTL.IN,5243301
Cyprus,CYP,Labor force with advanced education (% of total),SL.TLF.ADVN.ZS,84.01000214
Cyprus,CYP,"Labor force with advanced education, female (% of female labor force)",SL.TLF.ADVN.FE.ZS,82.90000153
Cyprus,CYP,"Labor force with advanced education, male (% of male labor force)",SL.TLF.ADVN.MA.ZS,85.44999695
Cyprus,CYP,Labor force with basic education (% of total),SL.TLF.BASC.ZS,41.47000122
Cyprus,CYP,"Labor force with basic education, female (% of female labor force)",SL.TLF.BASC.FE.ZS,33.97000122
Cyprus,CYP,"Labor force with basic education, male (% of male labor force)",SL.TLF.BASC.MA.ZS,49.13000107
Cyprus,CYP,Labor force with intermediate education (% of total),SL.TLF.INTM.ZS,69.86000061
Cyprus,CYP,"Labor force with intermediate education, female (% of female labor force)",SL.TLF.INTM.FE.ZS,63
Cyprus,CYP,"Labor force with intermediate education, male (% of male labor force)",SL.TLF.INTM.MA.ZS,76.20999908
Cyprus,CYP,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,45.95464063
Cyprus,CYP,"Labor force, total",SL.TLF.TOTL.IN,604594
Czech Republic,CZE,Labor force with advanced education (% of total),SL.TLF.ADVN.ZS,75.76999664
Czech Republic,CZE,"Labor force with advanced education, female (% of female labor force)",SL.TLF.ADVN.FE.ZS,71.16999817
Czech Republic,CZE,"Labor force with advanced education, male (% of male labor force)",SL.TLF.ADVN.MA.ZS,80.44000244
Czech Republic,CZE,Labor force with basic education (% of total),SL.TLF.BASC.ZS,20.77000046
Czech Republic,CZE,"Labor force with basic education, female (% of female labor force)",SL.TLF.BASC.FE.ZS,16.69000053
Czech Republic,CZE,"Labor force with basic education, male (% of male labor force)",SL.TLF.BASC.MA.ZS,28.10000038
Czech Republic,CZE,Labor force with intermediate education (% of total),SL.TLF.INTM.ZS,63.24000168
Czech Republic,CZE,"Labor force with intermediate education, female (% of female labor force)",SL.TLF.INTM.FE.ZS,54.95999908
Czech Republic,CZE,"Labor force with intermediate education, male (% of male labor force)",SL.TLF.INTM.MA.ZS,71.13999939
Czech Republic,CZE,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,43.94795479
Czech Republic,CZE,"Labor force, total",SL.TLF.TOTL.IN,5322680
Denmark,DNK,Labor force with advanced education (% of total),SL.TLF.ADVN.ZS,77.04000092
Denmark,DNK,"Labor force with advanced education, female (% of female labor force)",SL.TLF.ADVN.FE.ZS,76.16000366
Denmark,DNK,"Labor force with advanced education, male (% of male labor force)",SL.TLF.ADVN.MA.ZS,78.12999725
Denmark,DNK,Labor force with basic education (% of total),SL.TLF.BASC.ZS,43.97999954
Denmark,DNK,"Labor force with basic education, female (% of female labor force)",SL.TLF.BASC.FE.ZS,35.72000122
Denmark,DNK,"Labor force with basic education, male (% of male labor force)",SL.TLF.BASC.MA.ZS,52.75999832
Denmark,DNK,Labor force with intermediate education (% of total),SL.TLF.INTM.ZS,66.81999969
Denmark,DNK,"Labor force with intermediate education, female (% of female labor force)",SL.TLF.INTM.FE.ZS,63.54000092
Denmark,DNK,"Labor force with intermediate education, male (% of male labor force)",SL.TLF.INTM.MA.ZS,69.69000244
Denmark,DNK,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,47.28558519
Denmark,DNK,"Labor force, total",SL.TLF.TOTL.IN,2907017
Djibouti,DJI,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,41.35750793
Djibouti,DJI,"Labor force, total",SL.TLF.TOTL.IN,363136
Dominican Republic,DOM,Labor force with advanced education (% of total),SL.TLF.ADVN.ZS,72.43000031
Dominican Republic,DOM,"Labor force with advanced education, female (% of female labor force)",SL.TLF.ADVN.FE.ZS,67.51499939
Dominican Republic,DOM,"Labor force with advanced education, male (% of male labor force)",SL.TLF.ADVN.MA.ZS,79.63400269
Dominican Republic,DOM,Labor force with basic education (% of total),SL.TLF.BASC.ZS,43.34999847
Dominican Republic,DOM,"Labor force with basic education, female (% of female labor force)",SL.TLF.BASC.FE.ZS,27.18400002
Dominican Republic,DOM,"Labor force with basic education, male (% of male labor force)",SL.TLF.BASC.MA.ZS,57.79399872
Dominican Republic,DOM,Labor force with intermediate education (% of total),SL.TLF.INTM.ZS,56.76800156
Dominican Republic,DOM,"Labor force with intermediate education, female (% of female labor force)",SL.TLF.INTM.FE.ZS,42.4640007
Dominican Republic,DOM,"Labor force with intermediate education, male (% of male labor force)",SL.TLF.INTM.MA.ZS,71.41600037
Dominican Republic,DOM,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,40.63318395
Dominican Republic,DOM,"Labor force, total",SL.TLF.TOTL.IN,4810103
East Asia & Pacific,EAS,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,43.25969963
East Asia & Pacific,EAS,"Labor force, total",SL.TLF.TOTL.IN,1247171455
East Asia & Pacific (excluding high income),EAP,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,43.2808269
East Asia & Pacific (excluding high income),EAP,"Labor force, total",SL.TLF.TOTL.IN,1119325373
Ecuador,ECU,Labor force with advanced education (% of total),SL.TLF.ADVN.ZS,74.20999908
Ecuador,ECU,"Labor force with advanced education, female (% of female labor force)",SL.TLF.ADVN.FE.ZS,67.66000366
Ecuador,ECU,"Labor force with advanced education, male (% of male labor force)",SL.TLF.ADVN.MA.ZS,81.94999695
Ecuador,ECU,Labor force with basic education (% of total),SL.TLF.BASC.ZS,64.13999939
Ecuador,ECU,"Labor force with basic education, female (% of female labor force)",SL.TLF.BASC.FE.ZS,47.88000107
Ecuador,ECU,"Labor force with basic education, male (% of male labor force)",SL.TLF.BASC.MA.ZS,81.47000122
Ecuador,ECU,Labor force with intermediate education (% of total),SL.TLF.INTM.ZS,62.13999939
Ecuador,ECU,"Labor force with intermediate education, female (% of female labor force)",SL.TLF.INTM.FE.ZS,45.84000015
Ecuador,ECU,"Labor force with intermediate education, male (% of male labor force)",SL.TLF.INTM.MA.ZS,77.98000336
Ecuador,ECU,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,38.15945656
Ecuador,ECU,"Labor force, total",SL.TLF.TOTL.IN,7207317
"Egypt, Arab Rep.",EGY,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,23.08846706
"Egypt, Arab Rep.",EGY,"Labor force, total",SL.TLF.TOTL.IN,29972986
El Salvador,SLV,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,42.03469132
El Salvador,SLV,"Labor force, total",SL.TLF.TOTL.IN,2762247
Equatorial Guinea,GNQ,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,40.09030247
Equatorial Guinea,GNQ,"Labor force, total",SL.TLF.TOTL.IN,415714
Estonia,EST,Labor force with advanced education (% of total),SL.TLF.ADVN.ZS,79.86000061
Estonia,EST,"Labor force with advanced education, female (% of female labor force)",SL.TLF.ADVN.FE.ZS,75.94999695
Estonia,EST,"Labor force with advanced education, male (% of male labor force)",SL.TLF.ADVN.MA.ZS,86.91999817
Estonia,EST,Labor force with basic education (% of total),SL.TLF.BASC.ZS,38.04999924
Estonia,EST,"Labor force with basic education, female (% of female labor force)",SL.TLF.BASC.FE.ZS,27.70000076
